request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_49eecfeb198e7065,mol_riaqydgzvcoepb-uhfffaoysa-n,O=C=C(C(=C(F)F)C(F)(F)F)C(F)(F)F,O=C=C(C(=C(F)F)C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_b8cb30cd3d4c8a38d5e3 priority_score=0.761333; completed quantum pilot results already ingested
qreq_8f99b240c0ac0809,mol_clisvckzzlnock-uhfffaoysa-n,FC(F)=C(N=C(Cl)C(F)(F)F)C(F)(F)F,FC(F)=C(N=C(Cl)C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_d6fcb44daeac183b6b22 priority_score=0.761; completed quantum pilot results already ingested
qreq_2cc28438fb69a898,mol_kufyzpqgjtvlju-uhfffaoysa-n,FOC(OF)=C(OF)C(OF)(OF)OF,FOC(OF)=C(OF)C(OF)(OF)OF,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_16c245867b6bbc070bdd priority_score=0.760667; completed quantum pilot results already ingested
qreq_ee5ea69f5ba205c0,mol_aocgjhkusgfbbf-uhfffaoysa-n,F[C](F)C(F)(F)C(F)(F)OC(F)=C(F)F,F[C](F)C(F)(F)C(F)(F)OC(F)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_eaafd53b1dc48358283e priority_score=0.760333; completed quantum pilot results already ingested
qreq_8c5bf07d9570d1fb,mol_beuxuthvloypcg-uhfffaoysa-n,FC(F)=C(F)OC(Cl)(Cl)OC(F)=C(F)F,FC(F)=C(F)OC(Cl)(Cl)OC(F)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_1ca39ef61da28e979dfa priority_score=0.759333; completed quantum pilot results already ingested
qreq_b42ca6a8357553f7,mol_glhfhomosbntar-uhfffaoysa-n,FC(F)=C(F)OC(F)(F)OC(F)=C(F)F,FC(F)=C(F)OC(F)(F)OC(F)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_2c7a0319b7db0eb023cf priority_score=0.759333; completed quantum pilot results already ingested
qreq_a48df9a84ef7b075,mol_yfolnauddbriry-uhfffaoysa-n,FC(F)=C(Cl)OC(F)(F)OC(Cl)=C(F)F,FC(F)=C(Cl)OC(F)(F)OC(Cl)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_96fcc466018ba7833dc3 priority_score=0.759333; completed quantum pilot results already ingested
qreq_1a81ab00053ca7ff,mol_jlnikhwrldauli-uhfffaoysa-n,O=S(=O)(F)C(F)=C(F)C(F)(F)C(F)(F)F,O=S(=O)(F)C(F)=C(F)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_91aa1a5d854b140f816c priority_score=0.758667; completed quantum pilot results already ingested
qreq_0d3ec736de0912a4,mol_rqdwdzhagixhgq-uhfffaoysa-n,O=S(=O)(F)C(F)(F)C(F)(F)C(F)=C(F)F,O=S(=O)(F)C(F)(F)C(F)(F)C(F)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_a934b88574f99a6c4a8b priority_score=0.758667; completed quantum pilot results already ingested
qreq_b46954bf6ee1b0ea,mol_vqplwcwtdbntlz-uhfffaoysa-n,O=S(=O)(F)C(F)=C(C(F)(F)F)C(F)(F)F,O=S(=O)(F)C(F)=C(C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_4fa9841edecb3bf88bcc priority_score=0.758667; completed quantum pilot results already ingested
