queue_entry_id,mol_id,campaign_id,model_version,acquisition_strategy,priority_score,uncertainty_score,novelty_score,feasibility_score,hard_constraint_status,recommended_next_action,payload_json,status,created_at,updated_at,expires_at,notes
alq_0a53e46fa213c4c659d8,mol_mwwathdpgqksar-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.651,0.5,0.15,0.973333,passed,literature_search,"{""coverage_tier"": ""B"", ""missing_properties"": [""ashrae_safety"", ""gwp_100yr"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.5, ""feasibility"": 0.9733333333333334, ""novelty"": 0.15, ""performance"": 1.0, ""uncertainty"": 0.5}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_propyne""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_112092bcdbd2e7dfde7b,mol_uqeaihbtyfgyie-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,uncertainty_sampling,0.65,0.4,0.45,0.8,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.8, ""novelty"": 0.45, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_mm""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_3de785138751abe8067c,mol_lvzwsljzhvfiqj-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.645167,0.5,0.15,0.934444,passed,literature_search,"{""coverage_tier"": ""B"", ""missing_properties"": [""ashrae_safety"", ""gwp_100yr"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.5, ""feasibility"": 0.9344444444444444, ""novelty"": 0.15, ""performance"": 1.0, ""uncertainty"": 0.5}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_cyclopropane""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_99a49e50310aab69bb4c,mol_hpeujpjozxnmsj-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.638,0.5,1.0,0.753333,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""cop_standard_cycle"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.5, ""feasibility"": 0.7533333333333333, ""novelty"": 1.0, ""performance"": 0.5, ""uncertainty"": 0.5}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_methylstearate""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_db1a513c57cbe1218455,mol_cdooaushhfgwsa-uphrsurjsa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,uncertainty_sampling,0.636,0.4,0.35,0.84,passed,manual_curation,"{""coverage_tier"": ""A"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": ""R-1234ze(Z)"", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.84, ""novelty"": 0.35, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""anchor_r1234zez""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_a4d02e8125f487126f45,mol_jrhmnrmpvrxnos-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,uncertainty_sampling,0.633667,0.4,0.3,0.891111,passed,manual_curation,"{""coverage_tier"": ""B"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.8911111111111111, ""novelty"": 0.3, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_hfe143m""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_b664be9e6179a9926c5d,mol_iejigpnlzyllbp-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,uncertainty_sampling,0.631667,0.4,0.3,0.877778,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.8777777777777778, ""novelty"": 0.3, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_dimethylcarbonate""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_0d5e4b48a479d9055705,mol_fliacvvozybsbs-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.630667,0.5,0.95,0.771111,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""cop_standard_cycle"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.5, ""feasibility"": 0.7711111111111111, ""novelty"": 0.95, ""performance"": 0.5, ""uncertainty"": 0.5}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_methylpalmitate""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_fabf57445122d768fbe0,mol_rtzkzfjdlaiyfh-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,uncertainty_sampling,0.63,0.4,0.25,0.933333,passed,manual_curation,"{""coverage_tier"": ""B"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.9333333333333333, ""novelty"": 0.25, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_diethylether""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_aca87a9248237ee83083,mol_snrubqqjibeymu-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,uncertainty_sampling,0.624,0.2,0.6,0.893333,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""toxicity_class""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.2, ""feasibility"": 0.8933333333333333, ""novelty"": 0.6, ""performance"": 1.0, ""uncertainty"": 0.2}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_n_dodecane""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
