name,property_code,property_name_candidate,value,value_num,unit,source_sheet,match_status,next_action,notes
"1,1,1-Trichloro-2-Fluoroethane",Tb_K,boiling_point_c,92.8,92.80000000000001,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1-Dimethylcyclopentane",Tc_K,critical_temp_c,273.85,273.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1-Dimethylcyclopentane",Pc_MPa,critical_pressure_mpa,3.444,3.444,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Propane,1-Chloro-2-Methyl-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,31.67,31.67,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
Methylacethylene (Propyne),omega,acentric_factor,0.2161,0.2161,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trichloroethane",Tb_K,boiling_point_c,74,74.0,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2,2,2-Tetrafluoroethyl Difluoromethyl Ether",Tc_K,critical_temp_c,155.8,155.8,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2,2,2-Tetrafluoroethyl Difluoromethyl Ether",Pc_MPa,critical_pressure_mpa,3.05,3.05,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Butane, 1-Chloro-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,33.51,33.51,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"2,3-Dichloropropene",omega,acentric_factor,0.2061,0.2061,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trichloropropane",Tb_K,boiling_point_c,108,108.0,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2,2-TRIFLUOROPROPANE",Tc_K,critical_temp_c,176.85,176.85000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2,2-TRIFLUOROPROPANE",Pc_MPa,critical_pressure_mpa,3.801,3.801,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
3-Methyl-1-Butene,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,23.77,23.77,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trifluoro-2-(trifluoromethoxy)ethane",Tb_K,boiling_point_c,14.12,14.120000000000005,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2,3-Trichloropropane",Tc_K,critical_temp_c,378.85,378.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2,3-Trichloropropane",Pc_MPa,critical_pressure_mpa,3.87,3.87,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
1-Pentene,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,25.48,25.48,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-trifluoro-2,2-dimethylpropane",Tb_K,boiling_point_c,26.21,26.210000000000036,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-BUTADIENE",Tc_K,critical_temp_c,178.85,178.85000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-BUTADIENE",Pc_MPa,critical_pressure_mpa,4.36,4.36,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
2-Methyl-1-Butene,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,25.92,25.92,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trifluoro-2-Bromoethane",Tb_K,boiling_point_c,26,26.0,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Dibromotetrafluoroethane",Tc_K,critical_temp_c,214.65,214.65000000000003,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Dibromotetrafluoroethane",Pc_MPa,critical_pressure_mpa,3.349,3.349,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
2-Methyl-2-Butene,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,27.07,27.07,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
3-Chloropropene,omega,acentric_factor,0.1478,0.1478,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-TRIFLUORO-2-BUTYNE",Tb_K,boiling_point_c,22.28,22.28000000000003,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Dichloro-1,1,2-Trifluoroethane",Tc_K,critical_temp_c,188.45,188.45000000000005,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Dichloro-1,1,2-Trifluoroethane",Pc_MPa,critical_pressure_mpa,3.751,3.751,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2,3-Trichloropropane",omega,acentric_factor,0.3063,0.3063,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-TRIFLUOROACETONE",Tb_K,boiling_point_c,21.89,21.890000000000043,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Dichlorobutane",Tc_K,critical_temp_c,326.85,326.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
