request_id,mol_id,conformer_index,relative_energy_kcal_mol,relative_energy_kj_mol,boltzmann_weight,source_xyz,artifact_uri,artifact_sha256,notes
qreq_4ffe97fe0d07ec58,mol_bamuexipksrtbs-uhfffaoysa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_6e1ff27ce6594a76/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_4ffe97fe0d07ec58/qreq_4ffe97fe0d07ec58_crest_artifact.tar.gz,8e87a8830f14d1a03c7b4c8e2835adb1a4d2f28f476165ef62ca86adf1cf453b,phase-2 conformer detail; execution_kind=crest
qreq_56fcc81471bfbd02,mol_qgzkdvfqnngyky-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_4285e60aee658f6d/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_56fcc81471bfbd02/qreq_56fcc81471bfbd02_crest_artifact.tar.gz,f0620c6a9883ef4a0096fa3840cc266dee485f0886bc54532b842a9405229417,phase-2 conformer detail; execution_kind=singleton
qreq_5840274087c52641,mol_afypfacvudmoha-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_1964224e3114dee7/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_5840274087c52641/qreq_5840274087c52641_crest_artifact.tar.gz,bee3330e002a805f2887be6aed6ebc4cf1ff0ae79b3ad07b2b2f6a330320eaae,phase-2 conformer detail; execution_kind=singleton
qreq_591d26ed40c249bc,mol_xlyofnoqvpjjnp-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3eb0bfdad3405c1f/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_591d26ed40c249bc/qreq_591d26ed40c249bc_crest_artifact.tar.gz,b752ebcdf1767baaa7372bfa392a398f5091cadf9b3b1c5d61ca732a60f8b576,phase-2 conformer detail; execution_kind=singleton
qreq_5d3bb6dad8b425c6,mol_fxrlmcrcydhqfw-uhfffaoysa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3006c4a85e074cd4/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_5d3bb6dad8b425c6/qreq_5d3bb6dad8b425c6_crest_artifact.tar.gz,9eed144806c9e6767e1da2b2f237c2990c462c04303c2f2e35f0a03f73cf162d,phase-2 conformer detail; execution_kind=crest
qreq_5e3935d0737801c8,mol_ldtmpqqawumpks-owojbtedsa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_812f8780c08c6013/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_5e3935d0737801c8/qreq_5e3935d0737801c8_crest_artifact.tar.gz,2c1ff3d6cf68f042d76452a43cc3286e116ec6ce56fed34c6e62e639abea7c45,phase-2 conformer detail; execution_kind=crest
qreq_5e97fa2fbee7740f,mol_gtlacdsxyulkmz-uhfffaoysa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_b1b84ff6c1ce26fd/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_5e97fa2fbee7740f/qreq_5e97fa2fbee7740f_crest_artifact.tar.gz,1ad1984fce949b948ff54d2851960f6affff358c3ceaf7a52869700a8018f54e,phase-2 conformer detail; execution_kind=crest
qreq_5ea53ba452d5edda,mol_umnkxpulidjlsu-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_fc864a777b886ebe/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_5ea53ba452d5edda/qreq_5ea53ba452d5edda_crest_artifact.tar.gz,75133134e23894e0e8b945e41728b87c80a8e6133a75ec38a02458987346dc72,phase-2 conformer detail; execution_kind=singleton
qreq_5fed1e5e000292ea,mol_cyrmsutzvyginf-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_451af86f453b04fb/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_5fed1e5e000292ea/qreq_5fed1e5e000292ea_crest_artifact.tar.gz,5da224d2eaca44e6abbbe585507770dee0780826b4433db03ba21c3db7f2767b,phase-2 conformer detail; execution_kind=singleton
qreq_636bcce88051bba5,mol_bqcidusakpweox-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_acfee86277c25738/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_636bcce88051bba5/qreq_636bcce88051bba5_crest_artifact.tar.gz,dad27da3b7b0cf236f4b8abf7b5afb25792ab9bddaa428faf256e97a505693c2,phase-2 conformer detail; execution_kind=singleton
qreq_6429ceaeef89bc39,mol_gkaogpiiycishv-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_195360bfb8d39ca5/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_6429ceaeef89bc39/qreq_6429ceaeef89bc39_crest_artifact.tar.gz,9ffd0fe482f837781972da4e09229295561085ac4c1a8b71bf6e23999125521f,phase-2 conformer detail; execution_kind=singleton
qreq_6b5d8c603c36a18e,mol_nlolsxyrjfeota-owojbtedsa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_768a92016b55750f/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_6b5d8c603c36a18e/qreq_6b5d8c603c36a18e_crest_artifact.tar.gz,7678a1bcab73466be482200db14a296b254aac08cbe55ebee6137a11d5b15be2,phase-2 conformer detail; execution_kind=crest
qreq_77f1ce4c2c53e245,mol_ddmousalmhhkos-uhfffaoysa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_85214fd0f9939535/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_77f1ce4c2c53e245/qreq_77f1ce4c2c53e245_crest_artifact.tar.gz,d2f4eb82b881bb4a4f4d5433ce9fe0d33d724e7b40b79701b6816e54e1c13322,phase-2 conformer detail; execution_kind=crest
qreq_77f1ce4c2c53e245,mol_ddmousalmhhkos-uhfffaoysa-n,2,2.0,8.368,0.191,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_85214fd0f9939535/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_77f1ce4c2c53e245/qreq_77f1ce4c2c53e245_crest_artifact.tar.gz,d2f4eb82b881bb4a4f4d5433ce9fe0d33d724e7b40b79701b6816e54e1c13322,phase-2 conformer detail; execution_kind=crest
qreq_7b1c4d54c99e1daa,mol_swqjxjoglnczey-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_10785462c7c9d313/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_7b1c4d54c99e1daa/qreq_7b1c4d54c99e1daa_crest_artifact.tar.gz,57931b70d4d0bd128f3d6426df1f9890bdd48cd87a72eb343386bbafc10f4f9f,phase-2 conformer detail; execution_kind=singleton
qreq_85738160a2c5ecef,mol_bhnzezwiumjcgf-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_bdd4b63895efcf43/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_85738160a2c5ecef/qreq_85738160a2c5ecef_crest_artifact.tar.gz,2df9c6d2f3cc63aecfb76fb6af611235ce8a4dfbac6e3079c3ef98bf30cca5df,phase-2 conformer detail; execution_kind=singleton
qreq_85e6606f9c296b66,mol_uhcbbwuqdavsms-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3692175366022297/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_85e6606f9c296b66/qreq_85e6606f9c296b66_crest_artifact.tar.gz,02ce392ebb709bca180f77bde3c1f8adb12af48d0a61c2c736bd368b26b2f0b5,phase-2 conformer detail; execution_kind=singleton
qreq_87b6209f4b1e5089,mol_mssnhsvigihoja-uhfffaoysa-n,1,1.0,4.184,0.8202625594033195,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2468622b8566b7a8/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_87b6209f4b1e5089/qreq_87b6209f4b1e5089_crest_artifact.tar.gz,65298809251468dfbbc1618a20e45153cf2f48bf8ff9bf99988458735a1ad2aa,phase-2 conformer detail; execution_kind=crest
