substance_id,refrigerant_number,requested_property_count,requested_properties,seed_id,mol_id,canonical_smiles,isomeric_smiles,mapping_status,mapping_reason,has_completed_xtb,has_completed_psi4_dft,xtb_request_id,dft_request_id,xtb_enqueue_status,dft_enqueue_status,dft_xyz_source_path,dft_blocking_issue
SUB005,R-290,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,anchor_r290,mol_atuoywhbwrkthz-uhfffaoysa-n,CCC,CCC,mapped,mapped_by_seed_catalog,1,1,qreq_3fc552e219566122,qreq_68d1cd0a60ea47d1,already_completed,already_completed,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3fc552e219566122/xtbopt.xyz,
SUB047,R-30,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
SUB048,R-31,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
SUB001,R-32,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,anchor_r32,mol_rwriwbaiicgttq-uhfffaoysa-n,FCF,FCF,mapped,mapped_by_seed_catalog,1,1,qreq_1721dd29a5f82ba7,qreq_06e4e72d49c0c872,already_completed,already_completed,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_1721dd29a5f82ba7/xtbopt.xyz,
SUB024,R-365mfc,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,anchor_r365mfc,mol_wzlfpvprzgtckp-uhfffaoysa-n,CC(F)(F)CC(F)(F)F,CC(F)(F)CC(F)(F)F,mapped,mapped_by_seed_catalog,1,1,qreq_258ae6cf1f745439,qreq_90d42e554321c3c5,already_completed,already_completed,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_258ae6cf1f745439/xtbopt.xyz,
SUB049,R-40,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,seed_r40,mol_nehmkbqyuwjmip-uhfffaoysa-n,CCl,CCl,mapped,mapped_by_seed_catalog,1,1,qreq_995eb861bf73a8d0,qreq_a5f1a85877a03bb6,already_completed,already_completed,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_995eb861bf73a8d0/xtbopt.xyz,
SUB016,R-41,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,anchor_r41,mol_nbvxsuqywxrmnv-uhfffaoysa-n,CF,CF,mapped,mapped_by_seed_catalog,1,1,qreq_2968e9ed041dc5df,qreq_2b3b2eb4f83a9718,already_completed,already_completed,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2968e9ed041dc5df/xtbopt.xyz,
SUB025,R-43-10mee,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
SUB050,R-50,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,seed_methane,mol_vnwktokethgbqd-uhfffaoysa-n,C,C,mapped,mapped_by_seed_catalog,1,1,qreq_4bc62fd46818553d,qreq_ab55ed2af0b7e18b,already_completed,already_completed,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_4bc62fd46818553d/xtbopt.xyz,
SUB027,R-600,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,anchor_r600,mol_ijdnqmdrqiteod-uhfffaoysa-n,CCCC,CCCC,mapped,mapped_by_seed_catalog,1,1,qreq_50716528fb85b3e3,qreq_0755828a1e45cbc6,already_completed,already_completed,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_50716528fb85b3e3/xtbopt.xyz,
