mol_id,seed_id,r_number,canonical_smiles,coverage_tier,entity_scope,property_name,canonical_feature_key,missing_feature_key,recommended_action,priority
mol_iaqrguvfomomem-onegzznksa-n,seed_trans_2_butene,,CC=CC,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_jjwkpuradfrfrb-uhfffaoysa-n,seed_carbonylsulfide,,O=C=S,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_jrhmnrmpvrxnos-uhfffaoysa-n,seed_hfe143m,,COC(F)(F)F,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_lfqscwfljhtthz-uhfffaoysa-n,seed_ethanol,,CCO,B,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_lvzwsljzhvfiqj-uhfffaoysa-n,seed_cyclopropane,,C1CC1,B,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_mwwathdpgqksar-uhfffaoysa-n,seed_propyne,,C#CC,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_okkjlvbelutlkv-uhfffaoysa-n,seed_methanol,,CO,B,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_pxgokwxkjxapgv-uhfffaoysa-n,seed_fluorine,,FF,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_rtzkzfjdlaiyfh-uhfffaoysa-n,seed_diethylether,,CCOCC,B,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_rwsotubldixvet-uhfffaoysa-n,seed_hydrogensulfide,,S,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_sfzcnbifkdrmgx-uhfffaoysa-n,seed_sulfurhexafluoride,,FS(F)(F)(F)(F)F,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_ugfairiumavxcw-uhfffaoysa-n,seed_carbonmonoxide,,[C-]#[O+],B,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_vexzgxhmugyjmc-uhfffaoysa-n,seed_hydrogenchloride,,Cl,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_vqtubccksqidnk-uhfffaoysa-n,seed_isobutene,,C=C(C)C,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_vxnzuuainfgpby-uhfffaoysa-n,seed_1_butene,,C=CCC,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_afabghuzzdyhjo-uhfffaoysa-n,seed_isohexane,,CCCC(C)C,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_awtofsdlnreifs-uhfffaoysa-n,seed_r245ca,R-245ca,FCC(F)(F)C(F)F,B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_crsoqbowxpbres-uhfffaoysa-n,seed_neopentane,,CC(C)(C)C,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_cscppacgzoocgx-uhfffaoysa-n,seed_acetone,,CC(C)=O,B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_fdmfuzhcirhgrg-uhfffaoysa-n,seed_r1243zf,R-1243zf,C=CC(F)(F)F,B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_frchksnazzfgca-uhfffaoysa-n,seed_r141b,R-141b,CC(F)(Cl)Cl,B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_fyirupztypildh-uhfffaoysa-n,seed_r236ea,R-236ea,FC(F)C(F)C(F)(F)F,B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_gqplmrytrlflpf-uhfffaoysa-n,seed_nitrousoxide,R-744A,[N-]=[N+]=O,B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_iaqrguvfomomem-arjawskdsa-n,seed_cis_2_butene,,CC=CC,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_iaqrguvfomomem-onegzznksa-n,seed_trans_2_butene,,CC=CC,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_jjwkpuradfrfrb-uhfffaoysa-n,seed_carbonylsulfide,,O=C=S,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_jrhmnrmpvrxnos-uhfffaoysa-n,seed_hfe143m,,COC(F)(F)F,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_lfqscwfljhtthz-uhfffaoysa-n,seed_ethanol,,CCO,B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_lvzwsljzhvfiqj-uhfffaoysa-n,seed_cyclopropane,,C1CC1,B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
